,dataset,algorithm,split_number,pchembl_value,predicted,absolute_error
CHEMBL162094,NYPR1,modsar,1,4.74,5.066209259814935,0.3262092598149344
CHEMBL1623694,NYPR1,modsar,1,5.06,5.092231533697306,0.03223153369730625
CHEMBL1624501,NYPR1,modsar,1,4.82,2.8420252128622985,1.9779747871377018
CHEMBL164971,NYPR1,modsar,1,5.55,5.019968747032442,0.5300312529675582
CHEMBL167318,NYPR1,modsar,1,4.72,5.434341091704623,0.7143410917046236
CHEMBL17456,NYPR1,modsar,1,5.05,4.93,0.1200000000000001
CHEMBL187399,NYPR1,modsar,1,8.52,8.150000000000006,0.3699999999999939
CHEMBL187782,NYPR1,modsar,1,7.55,8.150000000000006,0.6000000000000059
CHEMBL188576,NYPR1,modsar,1,8.4,8.150000000000006,0.24999999999999467
CHEMBL1990096,NYPR1,modsar,1,5.15,5.26,0.10999999999999943
CHEMBL203433,NYPR1,modsar,1,5.88,6.480146076065362,0.6001460760653625
CHEMBL2046864,NYPR1,modsar,1,6.92,7.0475371543647025,0.1275371543647026
CHEMBL2046867,NYPR1,modsar,1,7.21,6.251475779826551,0.958524220173449
CHEMBL2111764,NYPR1,modsar,1,7.32,6.397311741813297,0.9226882581867031
CHEMBL238728,NYPR1,modsar,1,7.02,7.670830530184708,0.6508305301847086
CHEMBL238736,NYPR1,modsar,1,6.33,6.477591742724183,0.14759174272418285
CHEMBL2397299,NYPR1,modsar,1,7.21,6.251475779826551,0.958524220173449
CHEMBL239774,NYPR1,modsar,1,5.01,6.7098891115885975,1.6998891115885977
CHEMBL240208,NYPR1,modsar,1,6.72,7.556225632579511,0.8362256325795112
CHEMBL240404,NYPR1,modsar,1,7.29,7.200089408076638,0.0899105919233616
CHEMBL262221,NYPR1,modsar,1,6.35,5.635701593857025,0.7142984061429747
CHEMBL265766,NYPR1,modsar,1,6.02,8.150000000000006,2.130000000000006
CHEMBL268351,NYPR1,modsar,1,4.59,4.223033557284232,0.3669664427157677
CHEMBL288355,NYPR1,modsar,1,7.47,6.1200000000000045,1.3499999999999952
CHEMBL289620,NYPR1,modsar,1,6.96,4.660910446134444,2.2990895538655556
CHEMBL3194054,NYPR1,modsar,1,4.98,4.997054647927655,0.017054647927654543
CHEMBL3195229,NYPR1,modsar,1,5.27,5.13,0.13999999999999968
CHEMBL3197426,NYPR1,modsar,1,5.05,4.964263828402229,0.08573617159777047
CHEMBL3214137,NYPR1,modsar,1,5.08,5.3,0.21999999999999975
CHEMBL331578,NYPR1,modsar,1,6.36,8.150000000000006,1.7900000000000054
CHEMBL379443,NYPR1,modsar,1,6.62,7.325443264726321,0.7054432647263207
CHEMBL382836,NYPR1,modsar,1,7.65,7.000003645501562,0.6499963544984384
CHEMBL40430,NYPR1,modsar,1,5.85,4.67999999999996,1.17000000000004
CHEMBL405527,NYPR1,modsar,1,6.56,6.601166272440981,0.041166272440981366
CHEMBL410792,NYPR1,modsar,1,6.8,7.076485193718613,0.2764851937186128
CHEMBL411637,NYPR1,modsar,1,6.63,6.7475194943391585,0.11751949433915865
CHEMBL413232,NYPR1,modsar,1,5.9,6.0625100260655795,0.16251002606557918
CHEMBL417711,NYPR1,modsar,1,7.0,5.090000000000003,1.9099999999999966
CHEMBL417912,NYPR1,modsar,1,8.08,6.4799999999999995,1.6000000000000005
CHEMBL422583,NYPR1,modsar,1,7.26,7.77,0.5099999999999998
CHEMBL42625,NYPR1,modsar,1,4.12,5.788633919183317,1.6686339191833168
CHEMBL433627,NYPR1,modsar,1,5.6,6.759999999999991,1.1599999999999913
CHEMBL43627,NYPR1,modsar,1,5.96,4.913159107067143,1.046840892932857
CHEMBL43628,NYPR1,modsar,1,5.43,7.671560261968865,2.241560261968865
CHEMBL438342,NYPR1,modsar,1,7.37,6.334747731145863,1.035252268854137
CHEMBL438945,NYPR1,modsar,1,9.66,10.7,1.0399999999999991
CHEMBL441007,NYPR1,modsar,1,6.96,4.464671861011569,2.495328138988431
CHEMBL441936,NYPR1,modsar,1,6.11,5.859999990855004,0.25000000914499676
CHEMBL49177,NYPR1,modsar,1,7.7,7.428896779975272,0.2711032200247283
CHEMBL540466,NYPR1,modsar,1,6.55,8.971407593508687,2.421407593508687
CHEMBL560182,NYPR1,modsar,1,5.37,4.89,0.4800000000000004
CHEMBL560382,NYPR1,modsar,1,4.82,4.867132672427795,0.04713267242779473
CHEMBL560921,NYPR1,modsar,1,4.66,4.529999999999999,0.13000000000000078
CHEMBL564513,NYPR1,modsar,1,4.8,4.89,0.08999999999999986
CHEMBL566020,NYPR1,modsar,1,9.57,9.12999953050242,0.44000046949757987
CHEMBL566040,NYPR1,modsar,1,9.34,8.93226849253135,0.4077315074686503
CHEMBL567101,NYPR1,modsar,1,9.41,9.043969512412719,0.3660304875872811
CHEMBL567112,NYPR1,modsar,1,9.89,9.461492868920711,0.4285071310792894
CHEMBL567928,NYPR1,modsar,1,8.82,8.533418427577685,0.28658157242231574
CHEMBL571013,NYPR1,modsar,1,4.49,4.89,0.39999999999999947
CHEMBL116864,NYPR1,modsar,1,6.75,8.219999999999999,1.4699999999999989
CHEMBL124152,NYPR1,modsar,1,7.92,8.219999999999999,0.29999999999999893
CHEMBL1312220,NYPR1,modsar,1,5.47,5.090000000000001,0.379999999999999
CHEMBL1327690,NYPR1,modsar,1,5.18,5.88,0.7000000000000002
CHEMBL1335124,NYPR1,modsar,1,5.21,5.090000000000001,0.11999999999999922
CHEMBL1336318,NYPR1,modsar,1,5.17,4.9199999999999875,0.25000000000001243
CHEMBL1350415,NYPR1,modsar,1,4.72,4.9199999999999875,0.19999999999998774
CHEMBL1351633,NYPR1,modsar,1,4.87,5.88,1.0099999999999998
CHEMBL1353075,NYPR1,modsar,1,4.86,4.779999999999973,0.0800000000000276
CHEMBL1387309,NYPR1,modsar,1,5.05,5.090000000000001,0.040000000000000924
CHEMBL1423799,NYPR1,modsar,1,5.25,5.090000000000001,0.15999999999999925
CHEMBL1426896,NYPR1,modsar,1,5.23,5.090000000000001,0.13999999999999968
CHEMBL1427745,NYPR1,modsar,1,5.28,5.090000000000003,0.18999999999999684
CHEMBL1428935,NYPR1,modsar,1,5.39,5.090000000000001,0.29999999999999893
CHEMBL1439981,NYPR1,modsar,1,5.11,5.090000000000001,0.019999999999999574
CHEMBL1446166,NYPR1,modsar,1,5.16,5.090000000000001,0.0699999999999994
CHEMBL1507807,NYPR1,modsar,1,5.08,4.88,0.20000000000000018
CHEMBL1509886,NYPR1,modsar,1,5.05,5.090000000000001,0.040000000000000924
CHEMBL1545971,NYPR1,modsar,1,5.15,5.090000000000001,0.05999999999999961
CHEMBL1559259,NYPR1,modsar,1,5.28,5.05,0.23000000000000043
CHEMBL1568243,NYPR1,modsar,1,5.26,5.219999999999999,0.040000000000000924
CHEMBL1570844,NYPR1,modsar,1,5.11,5.090000000000001,0.019999999999999574
CHEMBL1585652,NYPR1,modsar,1,5.04,5.090000000000001,0.05000000000000071
CHEMBL1599610,NYPR1,modsar,1,5.11,5.090000000000001,0.019999999999999574
CHEMBL1616638,NYPR1,modsar,1,5.27,5.090000000000003,0.17999999999999616
CHEMBL1620238,NYPR1,modsar,1,5.17,4.779999999999973,0.3900000000000272
CHEMBL1620460,NYPR1,modsar,1,4.99,4.779999999999973,0.2100000000000275
CHEMBL162093,NYPR1,modsar,1,4.85,4.779999999999973,0.07000000000002693
CHEMBL162094,NYPR1,modsar,1,4.74,4.779999999999973,0.0399999999999725
CHEMBL1621471,NYPR1,modsar,1,5.16,5.11,0.04999999999999982
CHEMBL164971,NYPR1,modsar,1,5.55,4.779999999999973,0.7700000000000271
CHEMBL1771261,NYPR1,modsar,1,6.68,8.219999999999999,1.5399999999999991
CHEMBL187492,NYPR1,modsar,1,7.51,7.849999999999994,0.33999999999999453
CHEMBL1990096,NYPR1,modsar,1,5.15,5.26,0.10999999999999943
CHEMBL203430,NYPR1,modsar,1,5.41,5.5400000000000205,0.13000000000002032
CHEMBL2046860,NYPR1,modsar,1,6.34,6.719333231342269,0.3793332313422688
CHEMBL2046861,NYPR1,modsar,1,6.77,6.719333231342269,0.0506667686577309
CHEMBL2046862,NYPR1,modsar,1,6.26,6.719333231342269,0.4593332313422689
CHEMBL2046870,NYPR1,modsar,1,6.52,6.72,0.20000000000000018
CHEMBL205261,NYPR1,modsar,1,7.03,7.009999999999991,0.020000000000009344
CHEMBL206799,NYPR1,modsar,1,6.48,5.88,0.6000000000000005
CHEMBL214707,NYPR1,modsar,1,5.82,6.599999999999994,0.779999999999994
CHEMBL2314836,NYPR1,modsar,1,8.01,8.292616904620795,0.28261690462079514
CHEMBL238729,NYPR1,modsar,1,6.97,7.799999999999983,0.8299999999999832
CHEMBL239773,NYPR1,modsar,1,7.3,5.88,1.42
CHEMBL240208,NYPR1,modsar,1,6.72,7.300000000000011,0.5800000000000116
CHEMBL240404,NYPR1,modsar,1,7.29,7.009999999999991,0.28000000000000913
CHEMBL268409,NYPR1,modsar,1,5.9,6.1299999999999955,0.2299999999999951
CHEMBL290175,NYPR1,modsar,1,4.79,4.29,0.5
CHEMBL296523,NYPR1,modsar,1,4.68,6.359999999999999,1.6799999999999997
CHEMBL298983,NYPR1,modsar,1,7.92,7.769999999999982,0.15000000000001812
CHEMBL3190644,NYPR1,modsar,1,5.19,5.090000000000001,0.09999999999999964
CHEMBL3211272,NYPR1,modsar,1,5.3,5.090000000000001,0.20999999999999908
CHEMBL3213775,NYPR1,modsar,1,4.57,6.57,2.0
CHEMBL362083,NYPR1,modsar,1,8.3,8.219999999999999,0.08000000000000185
CHEMBL380654,NYPR1,modsar,1,7.43,7.849999999999994,0.4199999999999946
CHEMBL392583,NYPR1,modsar,1,5.72,5.139999999999986,0.5800000000000134
CHEMBL40430,NYPR1,modsar,1,5.85,6.359999999999999,0.5099999999999998
CHEMBL40475,NYPR1,modsar,1,4.92,6.359999999999999,1.4399999999999995
CHEMBL410792,NYPR1,modsar,1,6.8,6.1299999999999955,0.6700000000000044
CHEMBL410938,NYPR1,modsar,1,6.4,6.599999999999994,0.19999999999999396
CHEMBL413612,NYPR1,modsar,1,6.12,6.1299999999999955,0.009999999999995346
CHEMBL41392,NYPR1,modsar,1,4.94,6.359999999999999,1.419999999999999
CHEMBL414482,NYPR1,modsar,1,7.41,4.460000000000008,2.949999999999992
CHEMBL41457,NYPR1,modsar,1,6.93,5.430000000000007,1.499999999999993
CHEMBL417711,NYPR1,modsar,1,7.0,5.090000000000003,1.9099999999999966
CHEMBL417912,NYPR1,modsar,1,8.08,7.769999999999982,0.31000000000001826
CHEMBL425095,NYPR1,modsar,1,6.17,6.1299999999999955,0.040000000000004476
CHEMBL426314,NYPR1,modsar,1,5.73,7.009999999999991,1.2799999999999905
CHEMBL42686,NYPR1,modsar,1,5.48,5.430000000000007,0.049999999999993605
CHEMBL427594,NYPR1,modsar,1,7.31,6.1299999999999955,1.1800000000000042
CHEMBL428320,NYPR1,modsar,1,7.11,6.599999999999994,0.510000000000006
CHEMBL433627,NYPR1,modsar,1,5.6,5.430000000000007,0.16999999999999282
CHEMBL43753,NYPR1,modsar,1,4.65,6.359999999999999,1.709999999999999
CHEMBL438945,NYPR1,modsar,1,9.66,8.507076344819493,1.1529236551805067
CHEMBL441936,NYPR1,modsar,1,6.11,6.1299999999999955,0.019999999999995133
CHEMBL470495,NYPR1,modsar,1,8.65,4.659999999999997,3.9900000000000038
CHEMBL48897,NYPR1,modsar,1,7.52,7.769999999999982,0.24999999999998224
CHEMBL528708,NYPR1,modsar,1,5.06,5.88,0.8200000000000003
CHEMBL540466,NYPR1,modsar,1,6.55,4.779999999999973,1.770000000000027
CHEMBL549699,NYPR1,modsar,1,4.42,4.7999999999999545,0.3799999999999546
CHEMBL556183,NYPR1,modsar,1,4.68,4.7999999999999545,0.11999999999995481
CHEMBL557648,NYPR1,modsar,1,4.6,4.7999999999999545,0.19999999999995488
CHEMBL566041,NYPR1,modsar,1,9.57,8.739999999999952,0.830000000000048
CHEMBL566663,NYPR1,modsar,1,8.37,8.739999999999952,0.36999999999995303
CHEMBL567112,NYPR1,modsar,1,9.89,8.739999999999952,1.1500000000000483
CHEMBL585669,NYPR1,modsar,1,9.8,8.739999999999952,1.0600000000000485
CHEMBL585711,NYPR1,modsar,1,9.7,8.739999999999952,0.960000000000047
CHEMBL113935,NYPR1,modsar,1,8.27,8.4,0.13000000000000078
CHEMBL115722,NYPR1,modsar,1,6.88,6.640000000000001,0.23999999999999932
CHEMBL1307319,NYPR1,modsar,1,5.49,5.28,0.20999999999999996
CHEMBL1308461,NYPR1,modsar,1,5.14,5.15,0.010000000000000675
CHEMBL1341841,NYPR1,modsar,1,4.69,5.469999999999999,0.7799999999999985
CHEMBL1342128,NYPR1,modsar,1,4.95,5.049999999999993,0.09999999999999254
CHEMBL1351633,NYPR1,modsar,1,4.87,5.12,0.25
CHEMBL1353428,NYPR1,modsar,1,5.39,5.19,0.1999999999999993
CHEMBL1365319,NYPR1,modsar,1,4.87,4.88,0.009999999999999787
CHEMBL1383610,NYPR1,modsar,1,4.92,5.15,0.23000000000000043
CHEMBL1423382,NYPR1,modsar,1,4.94,5.27,0.3299999999999992
CHEMBL1428935,NYPR1,modsar,1,5.39,5.17,0.21999999999999975
CHEMBL1439255,NYPR1,modsar,1,4.87,5.25,0.3799999999999999
CHEMBL1453672,NYPR1,modsar,1,5.24,5.150000000000002,0.08999999999999808
CHEMBL1502859,NYPR1,modsar,1,5.36,4.88,0.4800000000000004
CHEMBL1504083,NYPR1,modsar,1,4.78,5.27,0.4899999999999993
CHEMBL1511420,NYPR1,modsar,1,4.68,5.154266109413299,0.47426610941329894
CHEMBL1533962,NYPR1,modsar,1,4.91,4.52,0.39000000000000057
CHEMBL1537995,NYPR1,modsar,1,5.27,5.049999999999997,0.22000000000000242
CHEMBL1563162,NYPR1,modsar,1,5.07,4.49,0.5800000000000001
CHEMBL1570844,NYPR1,modsar,1,5.11,5.11,0.0
CHEMBL1585445,NYPR1,modsar,1,5.29,5.04,0.25
CHEMBL1599610,NYPR1,modsar,1,5.11,5.26,0.14999999999999947
CHEMBL1621471,NYPR1,modsar,1,5.16,5.19,0.03000000000000025
CHEMBL163470,NYPR1,modsar,1,5.07,4.74,0.33000000000000007
CHEMBL17441,NYPR1,modsar,1,5.1,6.0,0.9000000000000004
CHEMBL17645,NYPR1,modsar,1,5.08,5.89,0.8099999999999996
CHEMBL1771261,NYPR1,modsar,1,6.68,7.82,1.1400000000000006
CHEMBL18016,NYPR1,modsar,1,4.22,5.05,0.8300000000000001
CHEMBL187399,NYPR1,modsar,1,8.52,8.4,0.11999999999999922
CHEMBL187490,NYPR1,modsar,1,8.1,8.4,0.3000000000000007
CHEMBL187902,NYPR1,modsar,1,7.6,7.549999999999999,0.05000000000000071
CHEMBL187925,NYPR1,modsar,1,8.52,8.4,0.11999999999999922
CHEMBL188576,NYPR1,modsar,1,8.4,8.4,0.0
CHEMBL189036,NYPR1,modsar,1,7.85,7.549999999999999,0.3000000000000007
CHEMBL2046858,NYPR1,modsar,1,6.72,6.339999999999996,0.38000000000000345
CHEMBL2046863,NYPR1,modsar,1,6.74,6.339999999999994,0.4000000000000066
CHEMBL206112,NYPR1,modsar,1,5.14,5.719999999999999,0.5799999999999992
CHEMBL206723,NYPR1,modsar,1,6.11,7.280000000000001,1.1700000000000008
CHEMBL206799,NYPR1,modsar,1,6.48,5.47,1.0100000000000007
CHEMBL214707,NYPR1,modsar,1,5.82,6.599999999999994,0.779999999999994
CHEMBL217692,NYPR1,modsar,1,5.8,6.17,0.3700000000000001
CHEMBL2314836,NYPR1,modsar,1,8.01,6.599999999999994,1.4100000000000055
CHEMBL238527,NYPR1,modsar,1,5.11,7.280000000000001,2.170000000000001
CHEMBL2397295,NYPR1,modsar,1,6.05,6.339999999999996,0.2899999999999965
CHEMBL239773,NYPR1,modsar,1,7.3,5.47,1.83
CHEMBL266077,NYPR1,modsar,1,4.46,6.17,1.71
CHEMBL268351,NYPR1,modsar,1,4.59,6.529999999999989,1.9399999999999888
CHEMBL288355,NYPR1,modsar,1,7.47,4.789999999999981,2.6800000000000184
CHEMBL3195229,NYPR1,modsar,1,5.27,5.13,0.13999999999999968
CHEMBL3214137,NYPR1,modsar,1,5.08,4.989999999999998,0.09000000000000163
CHEMBL331578,NYPR1,modsar,1,6.36,6.640000000000001,0.28000000000000025
CHEMBL350620,NYPR1,modsar,1,5.02,4.74,0.27999999999999936
CHEMBL360188,NYPR1,modsar,1,8.1,8.4,0.3000000000000007
CHEMBL360205,NYPR1,modsar,1,8.22,8.4,0.17999999999999972
CHEMBL361273,NYPR1,modsar,1,8.4,8.4,0.0
CHEMBL362083,NYPR1,modsar,1,8.3,8.4,0.09999999999999964
CHEMBL364380,NYPR1,modsar,1,8.3,8.4,0.09999999999999964
CHEMBL381510,NYPR1,modsar,1,7.0,7.280000000000001,0.28000000000000114
CHEMBL395640,NYPR1,modsar,1,6.73,6.079999999999984,0.6500000000000163
CHEMBL40430,NYPR1,modsar,1,5.85,6.0,0.15000000000000036
CHEMBL411200,NYPR1,modsar,1,6.74,6.599999999999994,0.1400000000000059
CHEMBL412257,NYPR1,modsar,1,5.8,6.599999999999994,0.7999999999999945
CHEMBL413612,NYPR1,modsar,1,6.12,6.17,0.04999999999999982
CHEMBL415176,NYPR1,modsar,1,4.36,6.349999999999994,1.989999999999994
CHEMBL417711,NYPR1,modsar,1,7.0,4.789999999999963,2.2100000000000373
CHEMBL424862,NYPR1,modsar,1,7.47,7.280000000000001,0.18999999999999861
CHEMBL426314,NYPR1,modsar,1,5.73,7.280000000000001,1.5500000000000007
CHEMBL429698,NYPR1,modsar,1,7.05,6.349999999999994,0.7000000000000055
CHEMBL43627,NYPR1,modsar,1,5.96,6.0,0.040000000000000036
CHEMBL43710,NYPR1,modsar,1,5.66,4.289934905138076,1.370065094861924
CHEMBL439506,NYPR1,modsar,1,7.31,7.280000000000001,0.029999999999998472
CHEMBL441007,NYPR1,modsar,1,6.96,6.599999999999994,0.36000000000000565
CHEMBL441936,NYPR1,modsar,1,6.11,6.17,0.05999999999999961
CHEMBL49461,NYPR1,modsar,1,7.54,7.77,0.22999999999999954
CHEMBL50184,NYPR1,modsar,1,8.85,8.849999999999929,7.105427357601002e-14
CHEMBL52108,NYPR1,modsar,1,8.36,7.77,0.5899999999999999
CHEMBL557648,NYPR1,modsar,1,4.6,4.82,0.22000000000000064
CHEMBL563011,NYPR1,modsar,1,4.15,4.68,0.5299999999999994
CHEMBL564513,NYPR1,modsar,1,4.8,4.82,0.020000000000000462
CHEMBL564979,NYPR1,modsar,1,5.14,5.27,0.1299999999999999
CHEMBL566020,NYPR1,modsar,1,9.57,8.739999999999988,0.8300000000000125
CHEMBL566040,NYPR1,modsar,1,9.34,9.13993167306262,0.2000683269373802
CHEMBL566663,NYPR1,modsar,1,8.37,9.139964701222608,0.7699647012226087
CHEMBL566664,NYPR1,modsar,1,8.0,8.740000000000032,0.7400000000000322
CHEMBL567719,NYPR1,modsar,1,9.16,9.139999977825132,0.020000022174867738
CHEMBL585711,NYPR1,modsar,1,9.7,9.250000000000016,0.4499999999999833
CHEMBL60737,NYPR1,modsar,1,7.41,6.92,0.4900000000000002
CHEMBL1307319,NYPR1,modsar,1,5.49,5.25,0.2400000000000002
CHEMBL1312703,NYPR1,modsar,1,5.28,4.56860640788081,0.7113935921191903
CHEMBL1353428,NYPR1,modsar,1,5.39,5.002653604941441,0.3873463950585583
CHEMBL1359694,NYPR1,modsar,1,4.88,5.312795077637508,0.43279507763750846
CHEMBL1385608,NYPR1,modsar,1,4.98,4.5,0.4800000000000004
CHEMBL1389982,NYPR1,modsar,1,5.11,5.069999999999986,0.040000000000014246
CHEMBL1391119,NYPR1,modsar,1,4.83,4.769999998898164,0.06000000110183645
CHEMBL1402158,NYPR1,modsar,1,5.37,5.347737692949913,0.022262307050087138
CHEMBL1407634,NYPR1,modsar,1,5.17,5.29,0.1200000000000001
CHEMBL1423799,NYPR1,modsar,1,5.25,5.341608651673373,0.09160865167337295
CHEMBL1426896,NYPR1,modsar,1,5.23,5.033763356786611,0.19623664321338907
CHEMBL1427745,NYPR1,modsar,1,5.28,5.564072816339083,0.28407281633908266
CHEMBL1431004,NYPR1,modsar,1,5.26,5.199970315409948,0.060029684590051424
CHEMBL1468302,NYPR1,modsar,1,5.29,5.362774578222738,0.07277457822273803
CHEMBL1493277,NYPR1,modsar,1,4.99,5.276503181886148,0.28650318188614765
CHEMBL1507807,NYPR1,modsar,1,5.08,5.27,0.1899999999999995
CHEMBL1509886,NYPR1,modsar,1,5.05,5.47,0.41999999999999993
CHEMBL1545205,NYPR1,modsar,1,4.72,5.026325451314558,0.30632545131455835
CHEMBL1545971,NYPR1,modsar,1,5.15,4.961807710753428,0.1881922892465724
CHEMBL1562842,NYPR1,modsar,1,4.52,4.662591103272487,0.1425911032724878
CHEMBL1570844,NYPR1,modsar,1,5.11,5.1092534018741596,0.0007465981258407695
CHEMBL1574689,NYPR1,modsar,1,5.16,5.045538754193876,0.11446124580612427
CHEMBL1585652,NYPR1,modsar,1,5.04,4.49710548749777,0.5428945125022304
CHEMBL1603366,NYPR1,modsar,1,5.0,4.516674484142658,0.4833255158573424
CHEMBL1616638,NYPR1,modsar,1,5.27,8.470891774917611,3.2008917749176113
CHEMBL162093,NYPR1,modsar,1,4.85,4.820000000000001,0.029999999999998472
CHEMBL162094,NYPR1,modsar,1,4.74,4.955263616008642,0.21526361600864163
CHEMBL1622175,NYPR1,modsar,1,5.08,4.941089088696261,0.13891091130373923
CHEMBL163470,NYPR1,modsar,1,5.07,4.955263616008642,0.11473638399135844
CHEMBL1771260,NYPR1,modsar,1,7.82,8.149999999999977,0.329999999999977
CHEMBL187491,NYPR1,modsar,1,8.4,8.344609623713923,0.055390376286077014
CHEMBL187492,NYPR1,modsar,1,7.51,7.776787900433007,0.26678790043300715
CHEMBL187782,NYPR1,modsar,1,7.55,7.713027699832248,0.16302769983224774
CHEMBL188271,NYPR1,modsar,1,8.7,8.079869767571608,0.6201302324283908
CHEMBL189412,NYPR1,modsar,1,8.52,8.609208964637661,0.08920896463766148
CHEMBL189548,NYPR1,modsar,1,7.41,7.947117321267077,0.5371173212670772
CHEMBL2004475,NYPR1,modsar,1,4.98,4.7541670125081685,0.2258329874918319
CHEMBL203430,NYPR1,modsar,1,5.41,6.106910169949003,0.6969101699490032
CHEMBL204050,NYPR1,modsar,1,7.01,7.649999999999977,0.6399999999999775
CHEMBL206671,NYPR1,modsar,1,6.19,6.660649982790012,0.4706499827900119
CHEMBL206799,NYPR1,modsar,1,6.48,4.799999999999999,1.6800000000000015
CHEMBL238728,NYPR1,modsar,1,7.02,6.98325145885663,0.03674854114336945
CHEMBL238736,NYPR1,modsar,1,6.33,6.532883739660241,0.20288373966024054
CHEMBL2397200,NYPR1,modsar,1,6.58,5.359999999999998,1.2200000000000024
CHEMBL2397295,NYPR1,modsar,1,6.05,6.285303725271628,0.23530372527162857
CHEMBL262083,NYPR1,modsar,1,5.11,4.837052601666967,0.2729473983330335
CHEMBL265766,NYPR1,modsar,1,6.02,6.569775447447929,0.5497754474479297
CHEMBL266021,NYPR1,modsar,1,5.8,6.119999997692484,0.31999999769248433
CHEMBL268351,NYPR1,modsar,1,4.59,7.149975649636203,2.559975649636203
CHEMBL288355,NYPR1,modsar,1,7.47,8.600829997179842,1.1308299971798421
CHEMBL289620,NYPR1,modsar,1,6.96,5.479751807831038,1.480248192168962
CHEMBL3190644,NYPR1,modsar,1,5.19,5.089056405073114,0.10094359492688643
CHEMBL3197426,NYPR1,modsar,1,5.05,4.72,0.33000000000000007
CHEMBL3214137,NYPR1,modsar,1,5.08,5.297593491359457,0.21759349135945705
CHEMBL324554,NYPR1,modsar,1,8.38,8.238204902078191,0.14179509792180944
CHEMBL324990,NYPR1,modsar,1,7.89,8.170618434685908,0.2806184346859082
CHEMBL351508,NYPR1,modsar,1,4.54,5.008316341990844,0.46831634199084426
CHEMBL380654,NYPR1,modsar,1,7.43,6.2174024755447395,1.2125975244552603
CHEMBL382204,NYPR1,modsar,1,6.36,6.769999999999983,0.4099999999999824
CHEMBL382355,NYPR1,modsar,1,6.73,6.620000000000005,0.10999999999999499
CHEMBL38531,NYPR1,modsar,1,5.09,7.542829541360735,2.4528295413607353
CHEMBL392943,NYPR1,modsar,1,7.96,7.751687299078656,0.20831270092134435
CHEMBL398782,NYPR1,modsar,1,7.3,6.720014045978233,0.5799859540217671
CHEMBL40475,NYPR1,modsar,1,4.92,5.908680845308631,0.9886808453086307
CHEMBL411795,NYPR1,modsar,1,7.8,6.973744851912349,0.8262551480876512
CHEMBL412257,NYPR1,modsar,1,5.8,6.600000002076176,0.8000000020761764
CHEMBL422583,NYPR1,modsar,1,7.26,7.785997730980023,0.5259977309800234
CHEMBL424862,NYPR1,modsar,1,7.47,6.925199985791865,0.5448000142081346
CHEMBL425095,NYPR1,modsar,1,6.17,6.114159460633314,0.055840539366686315
CHEMBL428320,NYPR1,modsar,1,7.11,6.388019853579129,0.7219801464208713
CHEMBL428992,NYPR1,modsar,1,5.9,6.1200000000000045,0.2200000000000042
CHEMBL43628,NYPR1,modsar,1,5.43,4.91608370572475,0.5139162942752495
CHEMBL43753,NYPR1,modsar,1,4.65,6.394999999999996,1.7449999999999957
